_id,name,symbol,contractAddress,chain,logo,decimal,financialData,live,createdAt,updatedAt,__v
{'$oid': '623fc4b817f99988906aa3c6'},APY.Finance,APY,0x95a4492F028aa1fd432Ea71146b433E7B4446611,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7227.png,18,"{'price': 0.133990816588787, 'volume24h': 94007.68757565, 'volumeChange24h': -25.3867, 'percentChange1h': 0.60678602, 'percentChange24h': 2.05429482, 'percentChange7d': 14.10079407, 'percentChange30d': 40.874129429999996, 'percentChange60d': -14.10495985, 'percentChange90d': -57.20345912, 'marketCap': 8002714.908748992, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 13399081.66, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:16.829Z'},{'$date': '2022-03-27T01:58:16.829Z'},0
{'$oid': '623fc4bc17f99988906aa3c9'},Opium,OPIUM,0x888888888889c00c67689029d7856aac1065ec11,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7230.png,18,"{'price': 0.529618690049919, 'volume24h': 78280.22099784, 'volumeChange24h': -12.247, 'percentChange1h': 0.19059696, 'percentChange24h': -0.48822187, 'percentChange7d': -1.46217028, 'percentChange30d': -11.60265115, 'percentChange60d': -50.39200977, 'percentChange90d': -69.58876818, 'marketCap': 2203851.411510487, 'marketCapDominance': 0.0001, 'fullyDilutedMarketCap': 52961869, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:20.638Z'},{'$date': '2022-03-27T01:58:20.638Z'},0
{'$oid': '623fc4c017f99988906aa3cc'},ShineDAO,SHN,0x1c7ede23b1361acc098a1e357c9085d131b34a01,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/14857.png,18,"{'price': 0.007153484069382001, 'volume24h': 0, 'volumeChange24h': 0, 'percentChange1h': 0.26832085, 'percentChange24h': 1.53695752, 'percentChange7d': -3.52784125, 'percentChange30d': -13.59061378, 'percentChange60d': -22.65735971, 'percentChange90d': -51.42554168, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 715348.41, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:24.205Z'},{'$date': '2022-03-27T01:58:24.205Z'},0
{'$oid': '623fc4c317f99988906aa3cf'},DeversiFi,DVF,0xdddddd4301a082e62e84e43f474f044423921918,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/10759.png,18,"{'price': 4.8428579950888775, 'volume24h': 1828672.94587547, 'volumeChange24h': 6.0387, 'percentChange1h': -0.11824647, 'percentChange24h': -1.75447029, 'percentChange7d': -5.75746946, 'percentChange30d': -15.37635307, 'percentChange60d': -18.86153388, 'percentChange90d': -37.39506029, 'marketCap': 116941207.27474697, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 484285799.51, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:27.222Z'},{'$date': '2022-03-27T01:58:27.222Z'},0
{'$oid': '623fc4c717f99988906aa3d3'},KeeperDAO,ROOK,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7678.png,18,"{'price': 118.89283783828259, 'volume24h': 214836.64931948, 'volumeChange24h': -69.691, 'percentChange1h': 0.04298624, 'percentChange24h': 1.10841949, 'percentChange7d': 1.1264177, 'percentChange30d': 42.67691693, 'percentChange60d': 13.94253322, 'percentChange90d': -38.33380238, 'marketCap': 73432538.19217896, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 178339256.76, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:31.592Z'},{'$date': '2022-03-27T01:58:31.592Z'},0
{'$oid': '623fc4ca17f99988906aa3d7'},Avocado DAO Token,AVG,0xa41f142b6eb2b164f8164cae0716892ce02f311f,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/16543.png,18,"{'price': 0.70445649556816, 'volume24h': 410801.4164943, 'volumeChange24h': 98.7033, 'percentChange1h': -0.22421983, 'percentChange24h': -4.85053515, 'percentChange7d': 9.43334602, 'percentChange30d': 11.42590388, 'percentChange60d': -19.61051935, 'percentChange90d': -32.73783643, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 704456495.57, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:34.793Z'},{'$date': '2022-03-27T01:58:34.793Z'},0
{'$oid': '623fc4ce17f99988906aa3db'},DexKit,KIT,0x7866e48c74cbfb8183cd1a929cd9b95a7a5cb4f4,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7739.png,18,"{'price': 0.76442239514772, 'volume24h': 661.45038595, 'volumeChange24h': -58.9089, 'percentChange1h': 0.26832085, 'percentChange24h': 1.7138111299999998, 'percentChange7d': 6.40185397, 'percentChange30d': 6.33921319, 'percentChange60d': 7.48656915, 'percentChange90d': -35.47552887, 'marketCap': 610695.5226387237, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 7644223.95, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:38.254Z'},{'$date': '2022-03-27T01:58:38.254Z'},0
{'$oid': '623fc4d317f99988906aa3de'},Liquid Swap,LQD,0x7fe8dac51394157811c71bbf74c133a224a9ff44,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/17798.png,18,"{'price': 0.005256684105356, 'volume24h': 100.09952999, 'volumeChange24h': 0, 'percentChange1h': 0.26832085, 'percentChange24h': 1.3917505700000001, 'percentChange7d': -7.53821389, 'percentChange30d': -4.89581842, 'percentChange60d': -90.8343585, 'percentChange90d': -90.8343585, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 0, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:43.623Z'},{'$date': '2022-03-27T01:58:43.623Z'},0
{'$oid': '623fc4d917f99988906aa3e4'},Pantos,PAN,0x536381a8628dbcc8c70ac9a30a7258442eab4c92,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/5924.png,18,"{'price': 0.141897725550158, 'volume24h': 1945.89949458, 'volumeChange24h': -97.9421, 'percentChange1h': 0, 'percentChange24h': 0.04707212, 'percentChange7d': 6.77585271, 'percentChange30d': 19.87841892, 'percentChange60d': 20.30346426, 'percentChange90d': 23.26700481, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 141897725.55, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:58:49.529Z'},{'$date': '2022-03-27T01:58:49.529Z'},0
{'$oid': '623fc4df17f99988906aa3e9'},Rotten,ROT,0xD04785C4d8195e4A54d9dEc3a9043872875ae9E2,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7164.png,18,"{'price': 0.002468368720434, 'volume24h': 0, 'volumeChange24h': 0, 'percentChange1h': 0.60555821, 'percentChange24h': 3.57134588, 'percentChange7d': -13.79692172, 'percentChange30d': 16.119579, 'percentChange60d': -16.19755266, 'percentChange90d': -6.8143904, 'marketCap': 307281.00156193, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 307281, 'lastUpdated': {'$date': '2021-11-21T18:22:12Z'}}",False,{'$date': '2022-03-27T01:58:55.803Z'},{'$date': '2022-03-27T01:58:55.803Z'},0
