_id/$oid,name,symbol,contractAddress,chain/$oid,logo,decimal,financialData/price,financialData/volume24h,financialData/volumeChange24h,financialData/percentChange1h,financialData/percentChange24h,financialData/percentChange7d,financialData/percentChange30d,financialData/percentChange60d,financialData/percentChange90d,financialData/marketCap,financialData/marketCapDominance,financialData/fullyDilutedMarketCap,financialData/lastUpdated/$date,live,createdAt/$date,updatedAt/$date,__v
623fc39617f99988906aa2a0,0x,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/1896.png,18,0.8129670020381775,239491614.98072013,631.3376,25.17980486,39.83067257,50.70079482,59.44885055,55.36183566,-7.84435243,688986326.912192,0.0341,812967002.04,2022-03-27T01:52:00Z,false,2022-03-27T01:53:26.788Z,2022-03-27T01:53:26.788Z,0
623fc39c17f99988906aa2a3,Serum,SRM,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/6187.png,18,2.9366678660760073,140575543.76162407,-57.2691,-0.82994704,-3.07026774,3.48431486,59.68403503,39.84833723,-27.23055775,391257490.0027759,0.0194,29839482187.2,2022-03-27T01:52:00Z,false,2022-03-27T01:53:32.596Z,2022-03-27T01:53:32.596Z,0
623fc39e17f99988906aa2a6,IoTeX,IOTX,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/2777.png,18,0.09119615087328001,35264535.54591545,-41.9639,-0.58512935,2.6100431,14.74636781,28.18792589,27.3216223,-35.53452422,870082350.708252,0.0431,911961508.73,2022-03-27T01:52:00Z,false,2022-03-27T01:53:34.894Z,2022-03-27T01:53:34.894Z,0
623fc3a217f99988906aa2a9,Dego Finance,DEGO,0x88ef27e69108b2633f8e1c184cc37940a075cc02,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/7087.png,18,3.315199355053813,16322509.67791119,4.7469,0.08715254,4.62717482,11.58659762,23.94519576,-6.47195416,-52.59879928,28535190.570301153,0,69619186.46,2022-03-27T01:52:00Z,false,2022-03-27T01:53:38.255Z,2022-03-27T01:53:38.255Z,0
623fc3a317f99988906aa2ac,Illuvium,ILV,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/8719.png,18,592.61686391292,16223620.46369312,-40.4368,0.17649451,2.74710186,4.68682615,13.21595011,3.63548567,-48.62726757,385607566.774811,0.0191,5926168639.13,2022-03-27T01:52:00Z,false,2022-03-27T01:53:40.001Z,2022-03-27T01:53:40.001Z,0
623fc3a617f99988906aa2af,Impossible Finance,IF,0xb0e1fc65c1a741b4662b813eb787d369b8614af1,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/10932.png,18,0.5457210656697796,698.04274734,-90.1905,0.77473638,0.40993706,16.24834087,15.2434369,-18.39984169,-55.43289833,3274687.1156430854,0,11460142.38,2022-03-27T01:52:00Z,false,2022-03-27T01:53:42.262Z,2022-03-27T01:53:42.262Z,0
623fc3a917f99988906aa2b2,Braintrust,BTRST,0x799ebfabe77a6e34311eeee9825190b9ece32824,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/11584.png,18,3.268603813753301,2595025.8495862,-2.0674,-0.03971039,-0.3605517,-3.25736715,10.80933192,-5.84852348,-11.12225944,291227752.4659633,0.0144,817150953.44,2022-03-27T01:52:00Z,false,2022-03-27T01:53:45.575Z,2022-03-27T01:53:45.575Z,0
623fc3ac17f99988906aa2b5,Origin Protocol,OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/5117.png,18,0.6156808557322242,150446442.666286,-4.2646,0.69683435,1.21093116,-13.06475893,123.36593916,91.97823569,-16.22933685,239235561.1227244,0.0119,615680855.73,2022-03-27T01:52:00Z,false,2022-03-27T01:53:48.655Z,2022-03-27T01:53:48.655Z,0
623fc3af17f99988906aa2b8,Ren,REN,0x408e41876cccdc0f92210600ef50372656052a38,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/2539.png,18,0.4038768793787733,31171702.6262061,-19.3939,2.55112812,8.4737149,12.52111501,38.40949904,30.76237716,-38.01043734,403488148.0285292,0.02,403876879.38,2022-03-27T01:52:00Z,false,2022-03-27T01:53:51.970Z,2022-03-27T01:53:51.970Z,0
623fc3b217f99988906aa2bb,Ethereum Push Notification Service,PUSH,0xf418588522d5dd018b425E472991E52EBBeEEEEE,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/9111.png,18,1.1938117187278106,1509533.65582299,-7.6096,0.13718975,-2.51403038,5.37131317,17.46222463,-10.77339734,-43.63892142,18250905.21384358,0,119381171.87,2022-03-27T01:52:00Z,false,2022-03-27T01:53:54.225Z,2022-03-27T01:53:54.225Z,0
